Name,Num,Mobile
# Note: The source field of the tweet, must be encoded to ascii from unicode, with errors ignored (str.encode('ascii', 'ignore')) to get a match
"<a href=""http://picplz.com/"" rel=""nofollow"">picplz</a>",33,TRUE
"<a href=""http://perha.ps/"" rel=""nofollow"">Perhaps</a>",97,FALSE
"<a href=""http://pavo.me"" rel=""nofollow"">PavoMe</a>",32,TRUE
"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>",19,FALSE
"<a href=""http://mytopfollowersin2010.com"" rel=""nofollow"">My Top Followers in 2010</a>",102,FALSE
"<a href=""http://mylinksmyads.com"" rel=""nofollow"">mylinksmyads</a>",26,FALSE
"<a href=""http://motionobj.com/simplytweet"" rel=""nofollow"">SimplyTweet</a>",32,TRUE
"<a href=""http://mobtweet.net"" rel=""nofollow"">mobTweet</a>",42,TRUE
"<a href=""http://mobitweet.starhub.com/"" rel=""nofollow"">StarHub MobiTweet</a>",23,TRUE
"<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>",240,TRUE
"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Twitter for Android</a>",1968,TRUE
"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",9331,TRUE
"<a href=""http://messaging.nokia.com/site/main.do"" rel=""nofollow""> Ovi by Nokia </a>",38,TRUE
"<a href=""http://m.tweete.net"" rel=""nofollow"">m.tweete.net</a>",838,TRUE
"<a href=""http://m.tuitwit.com"" rel=""nofollow"">Tuitwit</a>",225,TRUE
"<a href=""http://m.dabr.co.uk"" rel=""nofollow"">Dabr</a>",435,TRUE
"<a href=""http://lifestream.aol.com"" rel=""nofollow"">AOL Lifestream</a>",6,FALSE
"<a href=""http://levelupstudio.com"" rel=""nofollow"">Touiteur</a>",1579,TRUE
"<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>",13,FALSE
"<a href=""http://kanvaso.com"" rel=""nofollow"">Kanvaso</a>",22,FALSE
"<a href=""http://iTweet.net"" rel=""nofollow"">iTweet.net</a>",68,FALSE
"<a href=""http://itunes.apple.com/app/twitvid/id317646079?mt=8"" rel=""nofollow"">TwitVid iPhone</a>",1,TRUE
"<a href=""http://itunes.apple.com/app/twitter/id333903271?mt=8"" rel=""nofollow"">Twitter for iPad</a>",76,TRUE
"<a href=""http://itunes.apple.com/app/dexigner/id319785197?mt=8"" rel=""nofollow"">Dexigner iPhone App</a>",20,TRUE
"<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>",197,TRUE
"<a href=""http://incourts.co.uk/"" rel=""nofollow"">In Courts Daily</a>",21,FALSE
"<a href=""http://identi.ca"" rel=""nofollow"">identica</a>",18,FALSE
"<a href=""http://icebirdapp.com/"" rel=""nofollow"">Icebird for iPhone</a>",2,TRUE
"<a href=""http://hellotxt.com"" rel=""nofollow"">hellotxt.com</a>",140,MIXED
"<a href=""http://gowalla.com/"" rel=""nofollow"">Gowalla</a>",129,TRUE
"<a href=""http://gomiso.com"" rel=""nofollow"">Miso</a>",21,FALSE
"<a href=""http://gladlyCast.com"" rel=""nofollow"">gladlyCast SMS</a>",27,TRUE
